t,best_vx,best_wz,best_total,n_traj,n_legal,n_crit_best,zero_for,RotateToGoal_raw,RotateToGoal,Oscillation_raw,Oscillation,BaseObstacle_raw,BaseObstacle,GoalAlign_raw,GoalAlign,PathAlign_raw,PathAlign,PathDist_raw,PathDist,GoalDist_raw,GoalDist,gt_x,gt_y,gt_yaw,gt_vx,gt_wz,dist_goal
0.254,0.0,0.7949,54.4,819,819,7,0.21,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.0017,0.0439,0.0008,0.4972,3.2856
0.493,0.0,0.7436,54.4,819,819,7,0.45,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.0102,0.1924,0.0095,0.6588,3.278
0.597,0.0,0.641,54.4,819,819,7,0.56,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.0156,0.2653,0.0106,0.5843,3.2731
0.759,0.0,1.0,53.0,819,819,7,0.72,0.0,0.0,0.0,0.0,0.0,0.0,42.0,25.2,2.0,1.6,2.0,1.6,41.0,24.6,-2.0,0.022,0.3675,0.0168,0.8159,3.2674
0.906,0.0,0.9487,54.0,819,819,7,0.87,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,2.0,1.6,1.0,0.8,43.0,25.8,-2.0,0.0278,0.4891,0.0132,0.7175,3.2621
1.019,0.0,0.8974,52.6,819,819,7,0.98,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,2.0,1.6,0.0,0.0,42.0,25.2,-2.0,0.0302,0.5645,0.008,0.5966,3.26
1.247,0.0,0.7949,54.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,1.0,0.8,42.0,25.2,-2.0003,0.0312,0.6383,-0.0021,0.4794,3.2589
1.479,0.0,0.7436,54.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,1.0,0.8,42.0,25.2,-1.9884,0.0442,0.7539,0.1994,0.7574,3.2527
1.573,0.0,0.6923,54.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,1.0,0.8,42.0,25.2,-1.9691,0.0639,0.8416,0.2616,0.7125,3.2439
1.682,0.2842,1.0,35.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,3.0,2.4,4.0,3.2,27.0,16.2,-1.9365,0.1038,0.9657,0.2891,0.6574,3.2236
1.898,0.2053,1.0,35.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.4,2.0,1.6,3.0,2.4,28.0,16.8,-1.9134,0.1409,1.0739,0.267,0.6979,3.2019
2.018,0.2684,0.9487,33.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,3.0,2.4,3.0,2.4,26.0,15.6,-1.8986,0.177,1.1698,0.2786,0.6898,3.1775
2.285,0.3,1.0,31.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,2.0,1.6,4.0,3.2,25.0,15.0,-1.889,0.2264,1.3102,0.2844,0.8169,3.1393
2.4,0.3,1.0,33.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,2.0,1.6,3.0,2.4,26.0,15.6,-1.8871,0.2665,1.4273,0.2784,0.9198,3.1055
2.501,0.2842,1.0,32.0,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,1.0,0.8,3.0,2.4,26.0,15.6,-1.8879,0.306,1.5435,0.2761,0.7507,3.071
2.611,0.3,0.9487,32.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,2.0,1.6,3.0,2.4,26.0,15.6,-1.892,0.3433,1.6293,0.26,0.4988,3.0368
2.884,0.3,0.8974,30.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.6,1.0,0.8,3.0,2.4,25.0,15.0,-1.9032,0.3903,1.708,0.305,0.5202,2.9908
2.993,0.3,1.0,29.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.6,0.0,0.0,2.0,1.6,25.0,15.0,-1.9187,0.4434,1.7847,0.3044,0.2764,2.9373
3.089,0.3,0.8462,31.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,1.0,0.8,3.0,2.4,25.0,15.0,-1.9274,0.4726,1.8121,0.3048,0.3063,2.9078
3.193,0.2842,0.9487,30.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,0.0,0.0,1.0,0.8,27.0,16.2,-1.9371,0.5017,1.8412,0.3047,0.2558,2.8781
3.552,0.2842,0.7436,31.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,0.0,0.0,2.0,1.6,27.0,16.2,-1.9592,0.5698,1.8641,0.2824,-0.1145,2.8085
3.675,0.3,0.4872,32.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,2.0,1.6,26.0,15.6,-1.9749,0.6268,1.8486,0.2987,-0.0693,2.7519
3.758,0.3,0.5385,30.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.4,0.0,0.0,1.0,0.8,26.0,15.6,-1.9824,0.6557,1.8389,0.2979,-0.1161,2.7236
3.859,0.3,0.3846,31.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,1.0,0.8,1.0,0.8,25.0,15.0,-1.9932,0.7006,1.8223,0.2987,-0.0704,2.6799
3.971,0.3,0.2821,31.0,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,0.0,0.0,2.0,1.6,27.0,16.2,-2.0001,0.7297,1.8152,0.2988,-0.0707,2.6518
4.398,0.3,0.2821,29.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,0.0,0.0,1.0,0.8,26.0,15.6,-2.017,0.8055,1.7981,0.2993,-0.0394,2.5792
4.503,0.3,-0.0769,27.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.6,0.0,0.0,0.0,0.0,25.0,15.0,-2.0254,0.8455,1.7884,0.283,-0.0718,2.5414
4.62,0.3,-0.1282,28.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.6,0.0,0.0,0.0,0.0,26.0,15.6,-2.0365,0.9025,1.7715,0.2827,-0.1208,2.488
4.744,0.2842,-0.1282,28.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.6,0.0,0.0,0.0,0.0,26.0,15.6,-2.0432,0.9432,1.7543,0.298,-0.1404,2.4508
4.874,0.3,-0.0769,27.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.6,0.0,0.0,0.0,0.0,25.0,15.0,-2.0486,0.9846,1.7325,0.2984,-0.1236,2.4138
4.987,0.3,-0.1282,31.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,1.0,0.8,26.0,15.6,-2.0537,1.0261,1.7151,0.2985,-0.1249,2.3772
5.119,0.3,-0.0256,30.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.4,1.0,0.8,0.0,0.0,25.0,15.0,-2.0577,1.0558,1.7124,0.3,0.0,2.3508
5.699,0.3,-0.0769,31.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.2,0.0,0.0,0.0,0.0,25.0,15.0,-2.0741,1.1911,1.6914,0.2997,-0.0253,2.2331
5.818,0.3,-0.1282,30.0,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,0.0,0.0,25.0,15.0,-2.0804,1.249,1.6844,0.2993,-0.0763,2.1838
5.931,0.3,-0.1282,28.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,0.0,0.0,0.0,0.0,25.0,15.0,-2.0841,1.2966,1.6671,0.2922,-0.1057,2.1446
6.05,0.3,0.0,30.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,1.0,0.8,0.0,0.0,25.0,15.0,-2.0866,1.331,1.6593,0.2998,-0.0258,2.1166
6.149,0.3,-0.0256,28.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,0.0,0.0,0.0,0.0,25.0,15.0,-2.0885,1.3549,1.6572,0.2998,-0.0259,2.0971
6.248,0.3,-0.0256,30.0,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,0.0,0.0,25.0,15.0,-2.0908,1.3834,1.6548,0.2909,-0.0197,2.0741
6.364,0.3,-0.0769,27.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.6,0.0,0.0,0.0,0.0,25.0,15.0,-2.0939,1.4253,1.6512,0.2998,-0.026,2.0405
6.458,0.2842,-0.0769,31.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,0.0,0.0,0.0,0.0,26.0,15.6,-2.0956,1.4492,1.6477,0.2996,-0.0781,2.0216
7.009,0.3,-0.0256,29.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,0.0,0.0,24.0,14.4,-2.1017,1.5595,1.6339,0.2911,-0.0069,1.9368
7.173,0.2842,-0.0256,33.0,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,16.8,0.0,0.0,0.0,0.0,27.0,16.2,-2.1063,1.6413,1.6296,0.2842,0.0,1.8757
7.274,0.3,-0.0256,32.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.2,0.0,0.0,0.0,0.0,27.0,16.2,-2.1083,1.6821,1.6247,0.2996,-0.0792,1.846
7.368,0.3,-0.0769,33.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,16.8,0.0,0.0,0.0,0.0,28.0,16.8,-2.1091,1.7121,1.6168,0.2997,-0.0796,1.825
7.46,0.2842,-0.0769,34.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,17.4,0.0,0.0,0.0,0.0,29.0,17.4,-2.1098,1.7353,1.613,0.2841,-0.0266,1.8088
7.577,0.3,0.0,33.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,16.8,0.0,0.0,0.0,0.0,28.0,16.8,-2.1106,1.7642,1.6088,0.2997,-0.0799,1.7889
7.713,0.2842,0.0,34.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,17.4,0.0,0.0,0.0,0.0,29.0,17.4,-2.1109,1.7935,1.6014,0.2913,-0.0593,1.7694
7.878,0.3,-0.0256,34.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,17.4,0.0,0.0,0.0,0.0,29.0,17.4,-2.1119,1.8414,1.5972,0.2999,-0.0269,1.7376
7.988,0.2842,-0.0256,37.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,18.6,0.0,0.0,0.0,0.0,31.0,18.6,-2.1124,1.8714,1.5945,0.2999,-0.0269,1.7182
8.074,0.3,0.0,35.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,18.0,0.0,0.0,0.0,0.0,29.0,17.4,-2.1129,1.9005,1.5919,0.2842,-0.0269,1.6998
8.76,0.2842,0.0,36.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,18.6,0.0,0.0,0.0,0.0,30.0,18.0,-2.1141,2.0467,1.5807,0.3,0.0,1.6127
8.979,0.3,-0.0256,35.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,18.0,0.0,0.0,0.0,0.0,29.0,17.4,-2.1156,2.1276,1.5877,0.2684,-0.027,1.5674
9.094,0.3,-0.0256,33.0,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.2,0.0,0.0,0.0,0.0,28.0,16.8,-2.1174,2.179,1.5986,0.2689,0.046,1.5396
9.214,0.2842,-0.0256,33.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,16.8,0.0,0.0,0.0,0.0,28.0,16.8,-2.1189,2.2233,1.6005,0.2842,0.0,1.5166
9.32,0.3,-0.0256,31.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.2,0.0,0.0,0.0,0.0,26.0,15.6,-2.1198,2.2555,1.6003,0.2601,-0.0091,1.5006
9.449,0.2842,-0.0256,33.0,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,16.8,0.0,0.0,0.0,0.0,27.0,16.2,-2.1199,2.2808,1.5898,0.2052,-0.0298,1.489
9.608,0.2842,0.0,30.0,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,0.0,0.0,0.0,0.0,27.0,16.2,-2.1206,2.3084,1.5916,0.1895,0.027,1.4761
9.707,0.3,0.0769,29.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,0.0,0.0,1.0,0.8,25.0,15.0,-2.1212,2.3263,1.5943,0.1737,0.0269,1.4679
9.861,0.2684,-0.0256,29.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,0.0,0.0,0.0,0.0,26.0,15.6,-2.1239,2.3642,1.6128,0.2861,0.355,1.4497
9.994,0.3,0.1282,29.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,1.0,0.8,1.0,0.8,24.0,14.4,-2.133,2.4058,1.6828,0.3044,0.4858,1.425
10.079,0.2684,0.0256,29.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.4,0.0,0.0,0.0,0.0,25.0,15.0,-2.1386,2.4296,1.7129,0.3037,0.3261,1.4109
10.746,0.2842,0.0,30.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,0.0,0.0,26.0,15.6,-2.1852,2.5672,1.9055,0.3068,0.3361,1.3215
10.853,0.1737,0.0256,32.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.2,0.0,0.0,0.0,0.0,27.0,16.2,-2.2141,2.6294,1.989,0.2422,0.3528,1.2768
10.99,0.3,0.4872,31.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.4,1.0,0.8,1.0,0.8,26.0,15.6,-2.2332,2.6642,2.0444,0.2071,0.29,1.2499
11.144,0.3,0.3333,31.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,0.0,0.0,27.0,16.2,-2.251,2.6943,2.0793,0.2841,0.26,1.2259
11.297,0.2842,0.3846,30.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.4,0.0,0.0,0.0,0.0,27.0,16.2,-2.2736,2.7311,2.1155,0.2603,0.2003,1.1966
11.414,0.3,0.3846,30.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,0.0,0.0,1.0,0.8,26.0,15.6,-2.29,2.7565,2.141,0.2462,0.2071,1.176
11.52,0.3,0.4872,29.0,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,0.0,0.0,1.0,0.8,25.0,15.0,-2.3025,2.7748,2.1633,0.2121,0.2134,1.1608
11.677,0.3,0.3846,28.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,0.0,0.0,0.0,0.0,26.0,15.6,-2.3202,2.7998,2.192,0.1564,0.1561,1.1397
11.78,0.2368,0.4359,30.0,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,0.0,0.0,25.0,15.0,-2.3308,2.814,2.2107,0.1406,0.1561,1.1275
11.909,0.2053,0.3846,30.0,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,0.0,0.0,25.0,15.0,-2.341,2.8275,2.2266,0.1415,0.1236,1.1157
12.591,0.3,0.4359,29.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,1.0,0.8,1.0,0.8,23.0,13.8,-2.364,2.8563,2.2689,0.0328,0.061,1.09
12.726,0.1421,0.2308,31.0,819,800,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,1.0,0.8,1.0,0.8,24.0,14.4,-2.3662,2.8589,2.2835,0.0087,0.0957,1.0876
12.811,0.1421,0.1795,31.0,819,785,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,1.0,0.8,1.0,0.8,24.0,14.4,-2.3674,2.8599,2.3009,0.0084,0.0974,1.0864
12.911,0.1263,0.1282,31.0,819,776,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,1.0,0.8,1.0,0.8,24.0,14.4,-2.3681,2.8606,2.3127,0.0086,0.0986,1.0856
13.032,0.1263,0.1282,31.0,819,767,7,0.08,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,1.0,0.8,1.0,0.8,24.0,14.4,-2.3688,2.8612,2.3242,0.0042,0.088,1.0848
13.133,0.1105,0.1282,31.0,819,760,7,0.18,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,1.0,0.8,1.0,0.8,24.0,14.4,-2.3691,2.8615,2.3331,0.0043,0.0887,1.0845
13.242,0.0316,0.4359,32.8,819,751,7,0.29,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,0.0,0.0,2.0,1.6,26.0,15.6,-2.3694,2.8618,2.342,0.0045,0.0895,1.0841
13.36,0.0316,0.4359,32.8,819,747,7,0.41,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,0.0,0.0,2.0,1.6,26.0,15.6,-2.3698,2.8622,2.3528,0.0047,0.0904,1.0837
13.458,0.1105,0.2821,32.4,819,752,7,0.51,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,1.0,0.8,2.0,1.6,25.0,15.0,-2.3702,2.8625,2.3619,0.0047,0.0904,1.0834
13.538,0.0316,0.4359,32.0,819,750,7,0.59,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,0.0,0.0,1.0,0.8,26.0,15.6,-2.3704,2.8628,2.3687,0.0046,0.0778,1.0831
14.293,0.0316,0.4359,32.0,819,749,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,0.0,0.0,1.0,0.8,26.0,15.6,-2.386,2.8775,2.4129,0.0418,0.0745,1.0665
14.406,0.0158,0.3846,32.0,819,759,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,0.0,0.0,1.0,0.8,26.0,15.6,-2.3915,2.8826,2.4277,0.042,0.0734,1.0606
14.512,0.0158,0.3333,32.0,819,760,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,0.0,0.0,1.0,0.8,26.0,15.6,-2.3958,2.8863,2.4379,0.0331,0.0727,1.0561
14.633,0.1579,0.3846,27.2,819,763,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,0.0,0.0,1.0,0.8,22.0,13.2,-2.4003,2.8901,2.452,0.0282,0.0606,1.0514
14.727,0.1579,0.3846,27.2,819,753,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,0.0,0.0,1.0,0.8,22.0,13.2,-2.4021,2.8916,2.4571,0.0304,0.0737,1.0495
14.861,0.1579,0.3333,27.2,819,751,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,0.0,0.0,1.0,0.8,22.0,13.2,-2.4051,2.894,2.4683,0.0284,0.0693,1.0464
14.96,0.1421,0.3333,27.2,819,754,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,0.0,0.0,1.0,0.8,22.0,13.2,-2.4077,2.8961,2.4756,0.0283,0.0601,1.0436
15.046,0.1421,0.4872,29.0,819,752,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.4,0.0,0.0,1.0,0.8,23.0,13.8,-2.4095,2.8975,2.4813,0.0282,0.0932,1.0418
15.194,0.1421,0.3333,29.2,819,753,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,1.0,0.8,1.0,0.8,23.0,13.8,-2.4122,2.8995,2.4937,0.028,0.105,1.039
15.297,0.1421,0.3333,29.2,819,752,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,1.0,0.8,1.0,0.8,23.0,13.8,-2.4151,2.9016,2.5044,0.0234,0.0501,1.0361
16.136,0.1105,0.3333,29.6,819,737,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.4,0.0,0.0,1.0,0.8,24.0,14.4,-2.4282,2.9104,2.5441,0.0233,0.04,1.0226
16.322,0.0947,0.4872,29.0,819,736,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,0.0,0.0,1.0,0.8,24.0,14.4,-2.4325,2.9129,2.5624,0.0226,0.0983,1.0182
16.442,0.0789,0.2308,29.6,819,736,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.4,0.0,0.0,1.0,0.8,24.0,14.4,-2.4353,2.9144,2.5776,0.0226,0.0876,1.0153
16.549,0.0789,0.2308,29.6,819,739,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.4,0.0,0.0,1.0,0.8,24.0,14.4,-2.4384,2.9159,2.5946,0.0177,0.0885,1.0122
16.659,0.0947,0.4359,29.0,819,739,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,0.0,0.0,1.0,0.8,24.0,14.4,-2.44,2.9167,2.6035,0.0176,0.089,1.0105
16.76,0.0947,0.4359,29.0,819,740,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,0.0,0.0,1.0,0.8,24.0,14.4,-2.442,2.9175,2.6142,0.0175,0.0896,1.0085
16.84,0.0789,0.2308,29.6,819,743,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.4,0.0,0.0,1.0,0.8,24.0,14.4,-2.4433,2.918,2.6214,0.0175,0.09,1.0072
16.949,0.0789,0.2308,29.6,819,746,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.4,0.0,0.0,1.0,0.8,24.0,14.4,-2.445,2.9187,2.6304,0.0174,0.0905,1.0055
17.052,0.0789,0.4359,29.0,819,746,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,0.0,0.0,1.0,0.8,24.0,14.4,-2.4469,2.9194,2.6409,0.0176,0.079,1.0035
17.146,0.0789,0.4359,29.0,819,744,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,0.0,0.0,1.0,0.8,24.0,14.4,-2.4483,2.9199,2.6472,0.0176,0.0793,1.0022
17.248,0.0632,0.4359,31.4,819,746,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,1.0,0.8,26.0,15.6,-2.4499,2.9205,2.6553,0.014,0.0884,1.0006
18.042,0.0632,0.4359,31.4,819,750,7,0.05,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,1.0,0.8,26.0,15.6,-2.4559,2.9221,2.6904,0.0044,0.0188,0.9945
18.152,0.0632,0.3333,30.8,819,750,7,0.16,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.4,0.0,0.0,1.0,0.8,26.0,15.6,-2.4563,2.9222,2.6923,0.0044,0.0188,0.9941
18.245,0.0632,0.3333,30.8,819,751,7,0.26,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.4,0.0,0.0,1.0,0.8,26.0,15.6,-2.4569,2.9224,2.6949,0.0044,0.0188,0.9935
18.361,0.0474,0.3333,32.0,819,753,7,0.37,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,1.0,0.8,27.0,16.2,-2.4576,2.9226,2.698,0.0044,0.0189,0.9928
18.548,0.0632,0.2821,30.8,819,755,7,0.56,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.4,0.0,0.0,1.0,0.8,26.0,15.6,-2.4585,2.9229,2.7021,0.0044,0.0189,0.9918
18.657,0.0474,0.3333,31.4,819,754,7,0.67,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,1.0,0.8,26.0,15.6,-2.4592,2.923,2.7051,0.0044,0.019,0.9911
18.758,0.0158,0.1282,31.8,819,755,7,0.77,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,0.0,0.0,0.0,0.0,27.0,16.2,-2.4597,2.9231,2.707,0.0044,0.019,0.9907
18.855,0.0158,0.0769,31.8,819,755,7,0.86,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,0.0,0.0,0.0,0.0,27.0,16.2,-2.4601,2.9233,2.7089,0.0044,0.019,0.9903
18.948,0.0158,0.0769,31.8,819,753,7,0.96,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,0.0,0.0,0.0,0.0,27.0,16.2,-2.4603,2.9233,2.7101,0.0044,0.019,0.99
19.038,0.0158,0.0769,31.8,819,757,7,1.05,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,0.0,0.0,0.0,0.0,27.0,16.2,-2.4609,2.9234,2.7124,0.0044,0.019,0.9895
19.745,0.0158,0.0769,31.8,819,758,7,1.75,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,0.0,0.0,0.0,0.0,27.0,16.2,-2.4631,2.924,2.7223,0.0044,0.0191,0.9872
19.828,0.0158,0.0769,31.8,819,757,7,1.84,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,0.0,0.0,0.0,0.0,27.0,16.2,-2.4636,2.9241,2.7246,0.0043,0.0192,0.9867
19.922,0.0158,0.0769,31.8,819,758,7,1.93,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,0.0,0.0,0.0,0.0,27.0,16.2,-2.4641,2.9243,2.7256,0.0046,0.0064,0.9862
20.085,0.0158,0.0769,31.8,819,757,7,2.1,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,0.0,0.0,0.0,0.0,27.0,16.2,-2.4651,2.9246,2.727,0.0046,0.0064,0.9852
20.22,0.0158,0.0769,31.8,819,755,7,2.23,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,0.0,0.0,0.0,0.0,27.0,16.2,-2.4659,2.9249,2.7282,0.0046,0.0064,0.9844
20.332,0.0158,0.0769,32.4,819,757,7,2.34,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.2,0.0,0.0,0.0,0.0,27.0,16.2,-2.4664,2.9251,2.7289,0.0046,0.0064,0.9839
20.448,0.0158,0.0769,32.4,819,757,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.2,0.0,0.0,0.0,0.0,27.0,16.2,-2.4668,2.9253,2.7296,0.0046,0.0064,0.9835
20.541,0.0158,0.0769,32.4,819,758,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.2,0.0,0.0,0.0,0.0,27.0,16.2,-2.4675,2.9255,2.7312,0.0133,0.0461,0.9828
